Bulge+Disk Morphological Measurements & Photometry
Click to expand
Column Name	Description
ra_detec_bd	Right ascencion of the B+D model
dec_detec_bd	Declination of the B+D model
disk_radius_deg	Radius of the disk component [deg]
disk_radius_deg_err	Radius error of the disk component [deg]
bulge_radius_deg	Radius of the bulge component [deg]
bulge_radius_deg_err	Radius of the bulge component [deg]
angle_bd	Angle of the B+D model in world coordinates
angle_bd_err	Angle error of the B+D model in world coordinates
disk_axratio	Axis ratio of the disk component
disk_axratio_err	Axis ratio error of the disk component
bulge_axratio	Axis ratio of the bulge component
bulge_axratio_err	Axis ratio of the bulge component
fmf_b+d_chi2	Reduced chi^2 of the B+D model
mag_model_bd_total_f115w	Total B+D model AB magnitude
mag_model_bd_total_f150w	Total B+D model AB magnitude
mag_model_bd_total_f277w	Total B+D model AB magnitude
mag_model_bd_total_f444w	Total B+D model AB magnitude
mag_err_model_bd_total_f115w	Total B+D model AB magnitude error
mag_err_model_bd_total_f150w	Total B+D model AB magnitude error
mag_err_model_bd_total_f277w	Total B+D model AB magnitude error
mag_err_model_bd_total_f444w	Total B+D model AB magnitude error
mag_model_bulge_f115w	Bulge component model AB magnitude
mag_model_bulge_f150w	Bulge component model AB magnitude
mag_model_bulge_f277w	Bulge component model AB magnitude
mag_model_bulge_f444w	Bulge component model AB magnitude
mag_err_model_bulge_f115w	Bulge component model AB magnitude error
mag_err_model_bulge_f150w	Bulge component model AB magnitude error
mag_err_model_bulge_f277w	Bulge component model AB magnitude error
mag_err_model_bulge_f444w	Bulge component model AB magnitude error
mag_model_disk_f115w	Disk component model AB magnitude
mag_model_disk_f150w	Disk component model AB magnitude
mag_model_disk_f277w	Disk component model AB magnitude
mag_model_disk_f444w	Disk component model AB magnitude
mag_err_model_disk_f115w	Disk component model AB magnitude error
mag_err_model_disk_f150w	Disk component model AB magnitude error
mag_err_model_disk_f277w	Disk component model AB magnitude error
mag_err_model_disk_f444w	Disk component model AB magnitude error
flux_model_bd_total_f115w	Total B+D model flux [microJy]
flux_model_bd_total_f150w	Total B+D model flux [microJy]
