 CIGALE Physical Parameters and Non-Parametric SFH
Click to expand
Column Name	Description
age_form	Look-back time (lbt) from the epoch of observation to when the galaxy formed 50% of its total stellar mass [Myr]
age_form_err	Error in age_form [Myr]
sfr_mass_vector_dir	Direction of the displacement vector in the SFR-M* plane over 250 Myr (lbt) [degrees]
sfr_mass_vector_dir_err	Error in the direction of displacement vector [degrees]
sfh_sfr_bin1	Normalized star formation rate in time bin 1 (SFR divided by total integrated SFH) [1/yr]
sfh_sfr_bin1_err	Error in normalized SFR in time bin 1 [1/yr]
sfh_sfr_bin2	Normalized star formation rate in time bin 2 [1/yr]
sfh_sfr_bin2_err	Error in normalized SFR in time bin 2 [1/yr]
sfh_sfr_bin3	Normalized star formation rate in time bin 3 [1/yr]
sfh_sfr_bin3_err	Error in normalized SFR in time bin 3 [1/yr]
sfh_sfr_bin4	Normalized star formation rate in time bin 4 [1/yr]
sfh_sfr_bin4_err	Error in normalized SFR in time bin 4 [1/yr]
sfh_sfr_bin5	Normalized star formation rate in time bin 5 [1/yr]
sfh_sfr_bin5_err	Error in normalized SFR in time bin 5 [1/yr]
sfh_sfr_bin6	Normalized star formation rate in time bin 6 [1/yr]
sfh_sfr_bin6_err	Error in normalized SFR in time bin 6 [1/yr]
sfh_sfr_bin7	Normalized star formation rate in time bin 7 [1/yr]
sfh_sfr_bin7_err	Error in normalized SFR in time bin 7 [1/yr]
sfh_sfr_bin8	Normalized star formation rate in time bin 8 [1/yr]
sfh_sfr_bin8_err	Error in normalized SFR in time bin 8 [1/yr]
sfh_sfr_bin9	Normalized star formation rate in time bin 9 [1/yr]
sfh_sfr_bin9_err	Error in normalized SFR in time bin 9 [1/yr]
sfr_mass_vector_norm	Normalization of the displacement vector in SFR-M* plane over 250 Myr (lbt) [dex/Myr]
sfr_mass_vector_norm_err	Error in vector normalization
sfh_time_bin1	Time corresponding to SFR bin 1 (lbt) [Myr]
sfh_time_bin1_err	Error in time for SFR bin 1 [Myr]
sfh_time_bin2	Time corresponding to SFR bin 2 [Myr]
sfh_time_bin2_err	Error in time for SFR bin 2 [Myr]
sfh_time_bin3	Time corresponding to SFR bin 3 [Myr]
sfh_time_bin3_err	Error in time for SFR bin 3 [Myr]
sfh_time_bin4	Time corresponding to SFR bin 4 [Myr]
sfh_time_bin4_err	Error in time for SFR bin 4 [Myr]
sfh_time_bin5	Time corresponding to SFR bin 5 [Myr]
sfh_time_bin5_err	Error in time for SFR bin 5 [Myr]
sfh_time_bin6	Time corresponding to SFR bin 6 [Myr]
sfh_time_bin6_err	Error in time for SFR bin 6 [Myr]
sfh_time_bin7	Time corresponding to SFR bin 7 [Myr]
sfh_time_bin7_err	Error in time for SFR bin 7 [Myr]
sfh_time_bin8	Time corresponding to SFR bin 8 [Myr]
sfh_time_bin8_err	Error in time for SFR bin 8 [Myr]
sfh_time_bin9	Time corresponding to SFR bin 9 [Myr]
sfh_time_bin9_err	Error in time for SFR bin 9 [Myr]
metallicity	Metallicity of the stellar population (mass fraction, e.g. 0.02 = solar metallicity) [dimensionless]
metallicity_err	Error in stellar metallicity [dimensionless]
sfh_integrated	Total integrated star formation history [M_sol]
sfh_integrated_err	Error in sfh_integrated [M_sol]
sfr_inst	Current star formation rate [M_sol/yr]
sfr_inst_err	Error in current SFR [M_sol/yr]
sfr_100myr	SFR over the last 100 Myr (lbt) [M_sol/yr]
sfr_100myr_err	Error in sfr_100myr [M_sol/yr]
mass	Stellar mass of the galaxy [M_sol]
mass_err	Error in stellar mass [M_sol]
chi2_best_fit	Chi-squared value of the best-fit model [dimensionless]
chi2_red_best_fit	Reduced chi-squared value of the best-fit model [dimensionless]
