Photometry (PSF-homogenized Aperture and SE++ Model-Based)
Column Name	Description
id	Unique ID of the source
segment-id	ID that corresponds to the segmentation map for a given tile. The combination of tile and segment-id is unique.
tile	Tile (A1–B10)
id_specz_khostovan25	Unique ID of the source corresponding to the Id_specz of the Khostovan et al. (2025) spec-z compilation. -999 if no specz match
ra	Right ascension in the detection catalog
dec	Declination ascension in the detection catalog
x_image	x-coordinate in given tile
y_image	y-coordinate in given tile
a_image	Isophotal major axis in pixels
b_image	Isophotal minor axis in pixels
theta_image	Isophotal image position angle (relative to the image x-axis)
theta_world	Isophotoal position angle (N of E, offset 20 deg)
chi2_max	Peak value of the chi2pos detection image within r=0.1 of the source centroid
mode	Detection mode (hot or cold) this source was identified with
snr_hst-f814w	Detection significance, measured from native-resolution (i.e. non-PSF homogenized) images in 0.2 diameter apertures
wht_hst-f814w	Median value of the WHT map in a 0.2 diameter aperture
flux_auto_hst-f814w	Flux, measured in small elliptical apertures with Kron aperture correction and PSF correction applied [microJy]
flux_err_auto_hst-f814w	Flux, adding in quadrature the propagated uncertainty from the ERR map with the random-aperture noise measurements [microJy]
mag_auto_hst-f814w	Magnitude, computed from the auto flux AB mag
flux_aper_hst-f814w	Flux, measured in circular apertures (diameters 0.2, 0.3, 0.5,0.75, and 1), with no PSF correction applied [microJy]
flux_err_aper_hst-f814w	Flux, uncertainty, computed as described for flux_err_auto_ [microJy]
mag_aper_hst-f814w	Magnitude, computed from the aper flux [AB mag]
snr_f115w	Detection significance, measured from native-resolution (i.e. non-PSF homogenized) images in 0.2 diameter apertures
wht_f115w	Median value of the WHT map in a 0.2 diameter aperture
flux_auto_f115w	Flux, measured in small elliptical apertures with Kron aperture correction and PSF correction applied [microJy]
flux_err_auto_f115w	Flux, adding in quadrature the propagated uncertainty from the ERR map with the random-aperture noise measurements [microJy]
mag_auto_f115w	Magnitude, computed from the auto flux AB mag
flux_aper_f115w	Flux, measured in circular apertures (diameters 0.2, 0.3, 0.5,0.75, and 1), with no PSF correction applied [microJy]
flux_err_aper_f115w	Flux, uncertainty, computed as described for flux_err_auto_ [microJy]
mag_aper_f115w	Magnitude, computed from the aper flux [AB mag]
snr_f150w	Detection significance, measured from native-resolution (i.e. non-PSF homogenized) images in 0.2 diameter apertures
wht_f150w	Median value of the WHT map in a 0.2 diameter aperture
flux_auto_f150w	Flux, measured in small elliptical apertures with Kron aperture correction and PSF correction applied [microJy]
flux_err_auto_f150w	Flux, adding in quadrature the propagated uncertainty from the ERR map with the random-aperture noise measurements [microJy]
mag_auto_f150w	Magnitude, computed from the auto flux AB mag
flux_aper_f150w	Flux, measured in circular apertures (diameters 0.2, 0.3, 0.5,0.75, and 1), with no PSF correction applied [microJy]
flux_err_aper_f150w	Flux, uncertainty, computed as described for flux_err_auto_ [microJy]
mag_aper_f150w	Magnitude, computed from the aper flux [AB mag]
snr_f277w	Detection significance, measured from native-resolution (i.e. non-PSF homogenized) images in 0.2 diameter apertures
wht_f277w	Median value of the WHT map in a 0.2 diameter aperture
flux_auto_f277w	Flux, measured in small elliptical apertures with Kron aperture correction and PSF correction applied [microJy]
flux_err_auto_f277w	Flux, adding in quadrature the propagated uncertainty from the ERR map with the random-aperture noise measurements [microJy]
mag_auto_f277w	Magnitude, computed from the auto flux AB mag
flux_aper_f277w	Flux, measured in circular apertures (diameters 0.2, 0.3, 0.5,0.75, and 1), with no PSF correction applied [microJy]
flux_err_aper_f277w	Flux, uncertainty, computed as described for flux_err_auto_ [microJy]
mag_aper_f277w	Magnitude, computed from the aper flux [AB mag]
snr_f444w	Detection significance, measured from native-resolution (i.e. non-PSF homogenized) images in 0.2 diameter apertures
wht_f444w	Median value of the WHT map in a 0.2 diameter aperture
flux_auto_f444w	Flux, measured in small elliptical apertures with Kron aperture correction and PSF correction applied [microJy]
flux_err_auto_f444w	Flux, adding in quadrature the propagated uncertainty from the ERR map with the random-aperture noise measurements [microJy]
mag_auto_f444w	Magnitude, computed from the auto flux AB mag
flux_aper_f444w	Flux, measured in circular apertures (diameters 0.2, 0.3, 0.5,0.75, and 1), with no PSF correction applied [microJy]
flux_err_aper_f444w	Flux, uncertainty, computed as described for flux_err_auto_ [microJy]
mag_aper_f444w	Magnitude, computed from the aper flux [AB mag]
snr_f770w	Detection significance, measured from native-resolution (i.e. non-PSF homogenized) images in 0.2 diameter apertures
wht_f770w	Median value of the WHT map in a 0.2 diameter aperture
flux_auto_f770w	Flux, measured in small elliptical apertures with Kron aperture correction and PSF correction applied [microJy]
flux_err_auto_f770w	Flux, adding in quadrature the propagated uncertainty from the ERR map with the random-aperture noise measurements [microJy]
mag_auto_f770w	Magnitude, computed from the auto flux AB mag
flux_aper_f770w	Flux, measured in circular apertures (diameters 0.2, 0.3, 0.5,0.75, and 1), with no PSF correction applied [microJy]
flux_err_aper_f770w	Flux, uncertainty, computed as described for flux_err_auto_ [microJy]
mag_aper_f770w	Magnitude, computed from the aper flux [AB mag]
c_f444w	Compactness in F444W; defined as the ratio of f(d=0.2)/f(d=0.5)
fwhm	FWHM
mu_max_hst-f814w	Peak surface brightness above the background
mu_max_f115w	Peak surface brightness above the background
mu_max_f150w	Peak surface brightness above the background
mu_max_f277w	Peak surface brightness above the background
mu_max_f444w	Peak surface brightness above the background
mu_max_f770w	Peak surface brightness above the background
kron_rad	Semi-major (a) and Semi-minor (b) axis of kron ellipse 1 or 2
kron1_a	Semi-major (a) and Semi-minor (b) axis of kron ellipse 1 or 2
