AGNCAT (v1.1, from agngal_desi.fits, 17995599 rows)
Column Name	Format	Unit
TARGETID	K	
SURVEY	7A	
PROGRAM	6A	
HEALPIX	J	
Z	D	
ZERR	D	
ZWARN	K	
SPECTYPE	6A	
AGN_MASKBITS	K	
OPT_UV_TYPE	K	
IR_TYPE	K	
COADD_FIBERSTATUS	J	
TARGET_RA	D	deg
TARGET_DEC	D	deg
LS_ID	K	
MIN_MJD	D	d
MEAN_MJD	D	d
MAX_MJD	D	d
COADD_NUMEXP	I	
COADD_EXPTIME	E	s
SV_PRIMARY	L	
MAIN_PRIMARY	L	
ZCAT_PRIMARY	L	
DESI_TARGET	K	
SCND_TARGET	K	
BGS_TARGET	K	
CMX_TARGET	K	
SV1_DESI_TARGET	K	
SV2_DESI_TARGET	K	
SV3_DESI_TARGET	K	
SV1_BGS_TARGET	K	
SV2_BGS_TARGET	K	
SV3_BGS_TARGET	K	
SV1_SCND_TARGET	K	
SV2_SCND_TARGET	K	
SV3_SCND_TARGET	K	
