B+D (v1.1, from COSMOSWeb_mastercatalog_v1.1_bulgedisk.fits, 784016 rows)
Column Name	Format	Unit
ra_detec_bd	D	
dec_detec_bd	D	
disk_radius_deg	D	
disk_radius_deg_err	D	
bulge_radius_deg	D	
bulge_radius_deg_err	D	
angle_bd	D	
angle_bd_err	D	
disk_axratio	D	
disk_axratio_err	D	
bulge_axratio	D	
bulge_axratio_err	D	
fmf_b+d_chi2	D	
mag_model_bd_total_f115w	D	
mag_model_bd_total_f150w	D	
mag_model_bd_total_f277w	D	
mag_model_bd_total_f444w	D	
mag_err_model_bd_total_f115w	D	
mag_err_model_bd_total_f150w	D	
mag_err_model_bd_total_f277w	D	
mag_err_model_bd_total_f444w	D	
mag_model_bulge_f115w	D	
mag_model_bulge_f150w	D	
mag_model_bulge_f277w	D	
mag_model_bulge_f444w	D	
mag_err_model_bulge_f115w	D	
mag_err_model_bulge_f150w	D	
mag_err_model_bulge_f277w	D	
mag_err_model_bulge_f444w	D	
mag_model_disk_f115w	D	
mag_model_disk_f150w	D	
mag_model_disk_f277w	D	
mag_model_disk_f444w	D	
mag_err_model_disk_f115w	D	
mag_err_model_disk_f150w	D	
mag_err_model_disk_f277w	D	
mag_err_model_disk_f444w	D	
flux_model_bd_total_f115w	D	
flux_model_bd_total_f150w	D	
flux_model_bd_total_f277w	D	
flux_model_bd_total_f444w	D	
flux_err_model_bd_total_f115w	D	
flux_err_model_bd_total_f150w	D	
flux_err_model_bd_total_f277w	D	
flux_err_model_bd_total_f444w	D	
flux_model_bulge_f115w	D	
flux_model_bulge_f150w	D	
flux_model_bulge_f277w	D	
flux_model_bulge_f444w	D	
flux_err_model_bulge_f115w	D	
flux_err_model_bulge_f150w	D	
flux_err_model_bulge_f277w	D	
flux_err_model_bulge_f444w	D	
flux_model_disk_f115w	D	
flux_model_disk_f150w	D	
flux_model_disk_f277w	D	
flux_model_disk_f444w	D	
flux_err_model_disk_f115w	D	
flux_err_model_disk_f150w	D	
flux_err_model_disk_f277w	D	
flux_err_model_disk_f444w	D	
b/t_f115w	D	
b/t_f150w	D	
b/t_f277w	D	
b/t_f444w	D	
b/t_err_f115w	D	
b/t_err_f150w	D	
b/t_err_f277w	D	
b/t_err_f444w	D	
mag_model_bd_total_hst-f814w	D	
mag_model_bd_total_f770w	D	
mag_model_bd_total_cfht-u	D	
mag_model_bd_total_hsc-g	D	
mag_model_bd_total_hsc-r	D	
mag_model_bd_total_hsc-i	D	
mag_model_bd_total_hsc-z	D	
mag_model_bd_total_hsc-y	D	
mag_model_bd_total_hsc-nb0816	D	
mag_model_bd_total_hsc-nb0921	D	
mag_model_bd_total_hsc-nb1010	D	
mag_model_bd_total_uvista-y	D	
mag_model_bd_total_uvista-j	D	
mag_model_bd_total_uvista-h	D	
mag_model_bd_total_uvista-ks	D	
mag_model_bd_total_sc-ia484	D	
mag_model_bd_total_sc-ia527	D	
mag_model_bd_total_sc-ia624	D	
mag_model_bd_total_sc-ia679	D	
mag_model_bd_total_sc-ia738	D	
mag_model_bd_total_sc-ia767	D	
mag_model_bd_total_sc-ib427	D	
mag_model_bd_total_sc-ib505	D	
mag_model_bd_total_sc-ib574	D	
mag_model_bd_total_sc-ib709	D	
mag_model_bd_total_sc-ib827	D	
mag_model_bd_total_sc-nb711	D	
mag_model_bd_total_sc-nb816	D	
mag_err_model_bd_total_hst-f814w	D	
mag_err_model_bd_total_f770w	D	
mag_err_model_bd_total_cfht-u	D	
mag_err_model_bd_total_hsc-g	D	
mag_err_model_bd_total_hsc-r	D	
mag_err_model_bd_total_hsc-i	D	
mag_err_model_bd_total_hsc-z	D	
mag_err_model_bd_total_hsc-y	D	
mag_err_model_bd_total_hsc-nb0816	D	
mag_err_model_bd_total_hsc-nb0921	D	
mag_err_model_bd_total_hsc-nb1010	D	
mag_err_model_bd_total_uvista-y	D	
mag_err_model_bd_total_uvista-j	D	
mag_err_model_bd_total_uvista-h	D	
mag_err_model_bd_total_uvista-ks	D	
mag_err_model_bd_total_sc-ia484	D	
mag_err_model_bd_total_sc-ia527	D	
mag_err_model_bd_total_sc-ia624	D	
mag_err_model_bd_total_sc-ia679	D	
mag_err_model_bd_total_sc-ia738	D	
mag_err_model_bd_total_sc-ia767	D	
mag_err_model_bd_total_sc-ib427	D	
mag_err_model_bd_total_sc-ib505	D	
mag_err_model_bd_total_sc-ib574	D	
mag_err_model_bd_total_sc-ib709	D	
mag_err_model_bd_total_sc-ib827	D	
mag_err_model_bd_total_sc-nb711	D	
mag_err_model_bd_total_sc-nb816	D	
mag_model_bulge_hst-f814w	D	
mag_model_bulge_f770w	D	
mag_model_bulge_cfht-u	D	
mag_model_bulge_hsc-g	D	
mag_model_bulge_hsc-r	D	
mag_model_bulge_hsc-i	D	
mag_model_bulge_hsc-z	D	
mag_model_bulge_hsc-y	D	
mag_model_bulge_hsc-nb0816	D	
mag_model_bulge_hsc-nb0921	D	
mag_model_bulge_hsc-nb1010	D	
mag_model_bulge_uvista-y	D	
mag_model_bulge_uvista-j	D	
mag_model_bulge_uvista-h	D	
mag_model_bulge_uvista-ks	D	
mag_model_bulge_sc-ia484	D	
mag_model_bulge_sc-ia527	D	
mag_model_bulge_sc-ia624	D	
mag_model_bulge_sc-ia679	D	
mag_model_bulge_sc-ia738	D	
mag_model_bulge_sc-ia767	D	
mag_model_bulge_sc-ib427	D	
mag_model_bulge_sc-ib505	D	
mag_model_bulge_sc-ib574	D	
mag_model_bulge_sc-ib709	D	
mag_model_bulge_sc-ib827	D	
mag_model_bulge_sc-nb711	D	
mag_model_bulge_sc-nb816	D	
mag_err_model_bulge_hst-f814w	D	
mag_err_model_bulge_f770w	D	
mag_err_model_bulge_cfht-u	D	
mag_err_model_bulge_hsc-g	D	
