CIGALE (v1.1, from COSMOSWeb_mastercatalog_v1.1_cigale.fits, 784016 rows)
Column Name	Format	Unit
age_form	D	
age_form_err	D	
sfr_mass_vector_dir	D	
sfr_mass_vector_dir_err	D	
sfr_mass_vector_norm	D	
sfr_mass_vector_norm_err	D	
sfh_sfr_bin1	D	
sfh_sfr_bin1_err	D	
sfh_sfr_bin2	D	
sfh_sfr_bin2_err	D	
sfh_sfr_bin3	D	
sfh_sfr_bin3_err	D	
sfh_sfr_bin4	D	
sfh_sfr_bin4_err	D	
sfh_sfr_bin5	D	
sfh_sfr_bin5_err	D	
sfh_sfr_bin6	D	
sfh_sfr_bin6_err	D	
sfh_sfr_bin7	D	
sfh_sfr_bin7_err	D	
sfh_sfr_bin8	D	
sfh_sfr_bin8_err	D	
sfh_sfr_bin9	D	
sfh_sfr_bin9_err	D	
sfh_time_bin1	D	
sfh_time_bin1_err	D	
sfh_time_bin2	D	
sfh_time_bin2_err	D	
sfh_time_bin3	D	
sfh_time_bin3_err	D	
sfh_time_bin4	D	
sfh_time_bin4_err	D	
sfh_time_bin5	D	
sfh_time_bin5_err	D	
sfh_time_bin6	D	
sfh_time_bin6_err	D	
sfh_time_bin7	D	
sfh_time_bin7_err	D	
sfh_time_bin8	D	
sfh_time_bin8_err	D	
sfh_time_bin9	D	
sfh_time_bin9_err	D	
metallicity	D	
metallicity_err	D	
sfh_integrated	D	
sfh_integrated_err	D	
sfr_inst	D	
sfr_inst_err	D	
sfr_100myr	D	
sfr_100myr_err	D	
mass	D	
mass_err	D	
ebv_stars	D	
ebv_stars_err	D	
chi2_best_fit	D	
chi2_red_best_fit	D	
