GALIGHT-MORPHO (v1.1, from COSMOSWeb_mastercatalog_v1.1_galight_morph.fits, 784016 rows)
Column Name	Format	Unit
rearc_f115w_sersic	D	
nsersic_f115w_sersic	D	
phi_f115w_sersic	D	
qratio_f115w_sersic	D	
mag_f115w_sersic	D	
rearc_f115w_sersic_err	D	
nsersic_f115w_sersic_err	D	
qratio_f115w_sersic_err	D	
phi_f115w_sersic_err	D	
mag_f115w_sersic_err	D	
rearc_bulge_f115w_bd	D	
nsersic_bulge_f115w_bd	D	
phi_bulge_f115w_bd	D	
qratio_bulge_f115w_bd	D	
mag_bulge_f115w_bd	D	
rearc_disk_f115w_bd	D	
nsersic_disk_f115w_bd	D	
phi_disk_f115w_bd	D	
qratio_disk_f115w_bd	D	
mag_disk_f115w_bd	D	
rearc_bulge_f115w_bd_err	D	
mag_bulge_f115w_bd_err	D	
qratio_bulge_f115w_bd_err	D	
phi_bulge_f115w_bd_err	D	
rearc_disk_f115w_bd_err	D	
mag_disk_f115w_bd_err	D	
qratio_disk_f115w_bd_err	D	
phi_disk_f115w_bd_err	D	
rearc_host_f115w_ps	D	
nsersic_host_f115w_ps	D	
phi_host_f115w_ps	D	
qratio_host_f115w_ps	D	
mag_host_f115w_ps	D	
p2t_flux_ratio_f115w_ps	D	
nsersic_host_f115w_ps_err	D	
rearc_host_f115w_ps_err	D	
mag_host_f115w_ps_err	D	
qratio_host_f115w_ps_err	D	
phi_host_f115w_ps_err	D	
bic_f115w_sersic	D	
reduced_Chisq_f115w_sersic	D	
bic_list_f115w_bd	D	
reduced_Chisq_list_f115w_bd	D	
bic_list_f115w_ps	D	
reduced_Chisq_list_f115w_ps	D	
asymmetry_f115w	D	
smoothness_f115w	D	
concentration_f115w	D	
gini_f115w	D	
m20_f115w	D	
cas_flag_f115w	D	
rearc_f150w_sersic	D	
nsersic_f150w_sersic	D	
phi_f150w_sersic	D	
qratio_f150w_sersic	D	
mag_f150w_sersic	D	
rearc_f150w_sersic_err	D	
nsersic_f150w_sersic_err	D	
qratio_f150w_sersic_err	D	
phi_f150w_sersic_err	D	
mag_f150w_sersic_err	D	
rearc_bulge_f150w_bd	D	
nsersic_bulge_f150w_bd	D	
phi_bulge_f150w_bd	D	
qratio_bulge_f150w_bd	D	
mag_bulge_f150w_bd	D	
rearc_disk_f150w_bd	D	
nsersic_disk_f150w_bd	D	
phi_disk_f150w_bd	D	
qratio_disk_f150w_bd	D	
mag_disk_f150w_bd	D	
rearc_bulge_f150w_bd_err	D	
mag_bulge_f150w_bd_err	D	
qratio_bulge_f150w_bd_err	D	
phi_bulge_f150w_bd_err	D	
rearc_disk_f150w_bd_err	D	
mag_disk_f150w_bd_err	D	
qratio_disk_f150w_bd_err	D	
phi_disk_f150w_bd_err	D	
rearc_host_f150w_ps	D	
nsersic_host_f150w_ps	D	
phi_host_f150w_ps	D	
qratio_host_f150w_ps	D	
mag_host_f150w_ps	D	
p2t_flux_ratio_f150w_ps	D	
nsersic_host_f150w_ps_err	D	
rearc_host_f150w_ps_err	D	
mag_host_f150w_ps_err	D	
qratio_host_f150w_ps_err	D	
phi_host_f150w_ps_err	D	
bic_f150w_sersic	D	
reduced_Chisq_f150w_sersic	D	
bic_list_f150w_bd	D	
reduced_Chisq_list_f150w_bd	D	
bic_list_f150w_ps	D	
reduced_Chisq_list_f150w_ps	D	
asymmetry_f150w	D	
smoothness_f150w	D	
concentration_f150w	D	
gini_f150w	D	
m20_f150w	D	
cas_flag_f150w	D	
rearc_f277w_sersic	D	
nsersic_f277w_sersic	D	
phi_f277w_sersic	D	
qratio_f277w_sersic	D	
mag_f277w_sersic	D	
rearc_f277w_sersic_err	D	
nsersic_f277w_sersic_err	D	
