LEPHARE (v1.1, from COSMOSWeb_mastercatalog_v1.1_lephare.fits, 784016 rows)
Column Name	Format	Unit
zfinal	D	
type	K	
zpdf_med	D	
zpdf_l68	D	
zpdf_u68	D	
zchi2	D	
chi2_best	D	
nbfilt	K	
zp_agn	D	
chi2_agn	D	
mod_agn	D	
mod_star	D	
chi_star	D	
mod_minchi2_phys	K	
ebv_minchi2	D	
law_minchi2	K	
age_minchi2	D	
mass_minchi2	D	
sfr_minchi2	D	
ssfr_minchi2	D	
age_l68	D	
age_med	D	
age_u68	D	
mass_l68	D	
mass_med	D	
mass_u68	D	
sfr_l68	D	
sfr_med	D	
sfr_u68	D	
ssfr_l68	D	
ssfr_med	D	
ssfr_u68	D	
l_nuv	D	
l_r	D	
l_k	D	
mabs_nuv	D	
mabs_r	D	
mabs_j	D	
mabs_k	D	
flag_chandra	D	
zpdf_med_space	D	
zpdf_l68_space	D	
zpdf_u68_space	D	
