ML-MORPHO (v1.1, from COSMOSWeb_mastercatalog_v1.1_ml_morph.fits, 784016 rows)
Column Name	Format	Unit
sph_0_f150w	D	
disk_0_f150w	D	
irr_0_f150w	D	
bd_0_f150w	D	
sph_1_f150w	D	
disk_1_f150w	D	
irr_1_f150w	D	
bd_1_f150w	D	
sph_2_f150w	D	
disk_2_f150w	D	
irr_2_f150w	D	
bd_2_f150w	D	
sph_3_f150w	D	
disk_3_f150w	D	
irr_3_f150w	D	
bd_3_f150w	D	
sph_4_f150w	D	
disk_4_f150w	D	
irr_4_f150w	D	
bd_4_f150w	D	
sph_5_f150w	D	
disk_5_f150w	D	
irr_5_f150w	D	
bd_5_f150w	D	
sph_6_f150w	D	
disk_6_f150w	D	
irr_6_f150w	D	
bd_6_f150w	D	
sph_7_f150w	D	
disk_7_f150w	D	
irr_7_f150w	D	
bd_7_f150w	D	
sph_8_f150w	D	
disk_8_f150w	D	
irr_8_f150w	D	
bd_8_f150w	D	
sph_9_f150w	D	
disk_9_f150w	D	
irr_9_f150w	D	
bd_9_f150w	D	
sph_0_f277w	D	
disk_0_f277w	D	
irr_0_f277w	D	
bd_0_f277w	D	
sph_1_f277w	D	
disk_1_f277w	D	
irr_1_f277w	D	
bd_1_f277w	D	
sph_2_f277w	D	
disk_2_f277w	D	
irr_2_f277w	D	
bd_2_f277w	D	
sph_3_f277w	D	
disk_3_f277w	D	
irr_3_f277w	D	
bd_3_f277w	D	
sph_4_f277w	D	
disk_4_f277w	D	
irr_4_f277w	D	
bd_4_f277w	D	
sph_5_f277w	D	
disk_5_f277w	D	
irr_5_f277w	D	
bd_5_f277w	D	
sph_6_f277w	D	
disk_6_f277w	D	
irr_6_f277w	D	
bd_6_f277w	D	
sph_7_f277w	D	
disk_7_f277w	D	
irr_7_f277w	D	
bd_7_f277w	D	
sph_8_f277w	D	
disk_8_f277w	D	
irr_8_f277w	D	
bd_8_f277w	D	
sph_9_f277w	D	
disk_9_f277w	D	
irr_9_f277w	D	
bd_9_f277w	D	
sph_0_f444w	D	
disk_0_f444w	D	
irr_0_f444w	D	
bd_0_f444w	D	
sph_1_f444w	D	
disk_1_f444w	D	
irr_1_f444w	D	
bd_1_f444w	D	
sph_2_f444w	D	
disk_2_f444w	D	
irr_2_f444w	D	
bd_2_f444w	D	
sph_3_f444w	D	
disk_3_f444w	D	
irr_3_f444w	D	
bd_3_f444w	D	
sph_4_f444w	D	
disk_4_f444w	D	
irr_4_f444w	D	
bd_4_f444w	D	
sph_5_f444w	D	
disk_5_f444w	D	
irr_5_f444w	D	
bd_5_f444w	D	
sph_6_f444w	D	
disk_6_f444w	D	
irr_6_f444w	D	
bd_6_f444w	D	
sph_7_f444w	D	
disk_7_f444w	D	
irr_7_f444w	D	
bd_7_f444w	D	
sph_8_f444w	D	
disk_8_f444w	D	
irr_8_f444w	D	
bd_8_f444w	D	
sph_9_f444w	D	
disk_9_f444w	D	
irr_9_f444w	D	
bd_9_f444w	D	
sph_f150w_mean	D	
sph_f150w_std	D	
disk_f150w_mean	D	
disk_f150w_std	D	
irr_f150w_mean	D	
irr_f150w_std	D	
bd_f150w_mean	D	
bd_f150w_std	D	
sph_f277w_mean	D	
sph_f277w_std	D	
disk_f277w_mean	D	
disk_f277w_std	D	
irr_f277w_mean	D	
irr_f277w_std	D	
bd_f277w_mean	D	
bd_f277w_std	D	
sph_f444w_mean	D	
sph_f444w_std	D	
disk_f444w_mean	D	
disk_f444w_std	D	
irr_f444w_mean	D	
irr_f444w_std	D	
bd_f444w_mean	D	
bd_f444w_std	D	
morph_flag_f277w	K	
delta_f277w	D	
morph_flag_f444w	K	
delta_f444w	D	
morph_flag_f150w	K	
delta_f150w	D	
