PHOTOMETRY HOTCOLD AND SE++ (v1.1, from COSMOSWeb_mastercatalog_v1.1_photom_primary.fits, 784016 rows)
Column Name	Format	Unit
id	K	
segment-id	K	
tile	3A	
id_specz_khostovan25	K	
ra	D	
dec	D	
x_image	D	
y_image	D	
a_image	D	
b_image	D	
theta_image	D	
theta_world	D	
chi2_max	D	
mode	4A	
snr_hst-f814w	D	
wht_hst-f814w	D	
flux_auto_hst-f814w	D	
flux_err_auto_hst-f814w	D	
mag_auto_hst-f814w	D	
flux_aper_hst-f814w	5D	
flux_err_aper_hst-f814w	5D	
mag_aper_hst-f814w	5D	
snr_f115w	D	
wht_f115w	D	
flux_auto_f115w	D	
flux_err_auto_f115w	D	
mag_auto_f115w	D	
flux_aper_f115w	5D	
flux_err_aper_f115w	5D	
mag_aper_f115w	5D	
snr_f150w	D	
wht_f150w	D	
flux_auto_f150w	D	
flux_err_auto_f150w	D	
mag_auto_f150w	D	
flux_aper_f150w	5D	
flux_err_aper_f150w	5D	
mag_aper_f150w	5D	
snr_f277w	D	
wht_f277w	D	
flux_auto_f277w	D	
flux_err_auto_f277w	D	
mag_auto_f277w	D	
flux_aper_f277w	5D	
flux_err_aper_f277w	5D	
mag_aper_f277w	5D	
snr_f444w	D	
wht_f444w	D	
flux_auto_f444w	D	
flux_err_auto_f444w	D	
mag_auto_f444w	D	
flux_aper_f444w	5D	
flux_err_aper_f444w	5D	
mag_aper_f444w	5D	
snr_f770w	D	
wht_f770w	D	
flux_auto_f770w	D	
flux_err_auto_f770w	D	
mag_auto_f770w	D	
flux_aper_f770w	5D	
flux_err_aper_f770w	5D	
mag_aper_f770w	5D	
c_f444w	D	
fwhm	D	
mu_max_hst-f814w	D	
mu_max_f115w	D	
mu_max_f150w	D	
mu_max_f277w	D	
mu_max_f444w	D	
mu_max_f770w	D	
kron_rad	D	
kron1_a	D	
kron1_b	D	
kron1_area	D	
kron2_a	D	
kron2_b	D	
kron2_area	D	
seg_area	D	
kron_corr	D	
kron_f444w_psf_corr	D	
kron_f770w_psf_corr	D	
kron_f770w_ap_corr	D	
flag_star	L	
flag_blend	L	
ra_model	D	
dec_model	D	
radius_sersic	D	
radius_sersic_err	D	
axratio_sersic	D	
axratio_sersic_err	D	
sersic	D	
sersic_err	D	
angle_sersic	D	
angle_sersic_err	D	
e1	D	
e1_err	D	
e2	D	
e2_err	D	
fmf_chi2	D	
group_id	K	
mag_model_f115w	D	
mag_model_f150w	D	
mag_model_f277w	D	
mag_model_f444w	D	
mag_model_hst-f814w	D	
mag_model_f770w	D	
mag_model_cfht-u	D	
mag_model_hsc-g	D	
mag_model_hsc-r	D	
mag_model_hsc-i	D	
mag_model_hsc-z	D	
mag_model_hsc-y	D	
mag_model_hsc-nb0816	D	
mag_model_hsc-nb0921	D	
mag_model_hsc-nb1010	D	
mag_model_uvista-y	D	
mag_model_uvista-j	D	
mag_model_uvista-h	D	
mag_model_uvista-ks	D	
mag_model_uvista-nb118	D	
mag_model_sc-ia484	D	
mag_model_sc-ia527	D	
mag_model_sc-ia624	D	
mag_model_sc-ia679	D	
mag_model_sc-ia738	D	
mag_model_sc-ia767	D	
mag_model_sc-ib427	D	
mag_model_sc-ib505	D	
mag_model_sc-ib574	D	
mag_model_sc-ib709	D	
mag_model_sc-ib827	D	
mag_model_sc-nb711	D	
mag_model_sc-nb816	D	
mag_model_irac-ch1	D	
mag_model_irac-ch2	D	
mag_model_irac-ch3	D	
mag_model_irac-ch4	D	
mag_err_model_f115w	D	
mag_err_model_f150w	D	
mag_err_model_f277w	D	
mag_err_model_f444w	D	
mag_err_model_hst-f814w	D	
mag_err_model_f770w	D	
mag_err_model_cfht-u	D	
mag_err_model_hsc-g	D	
mag_err_model_hsc-r	D	
mag_err_model_hsc-i	D	
mag_err_model_hsc-z	D	
mag_err_model_hsc-y	D	
mag_err_model_hsc-nb0816	D	
mag_err_model_hsc-nb0921	D	
mag_err_model_hsc-nb1010	D	
mag_err_model_uvista-y	D	
mag_err_model_uvista-j	D	
mag_err_model_uvista-h	D	
mag_err_model_uvista-ks	D	
mag_err_model_uvista-nb118	D	
mag_err_model_sc-ia484	D	
mag_err_model_sc-ia527	D	
mag_err_model_sc-ia624	D	
mag_err_model_sc-ia679	D	
mag_err_model_sc-ia738	D	
mag_err_model_sc-ia767	D	
mag_err_model_sc-ib427	D	
mag_err_model_sc-ib505	D	
mag_err_model_sc-ib574	D	
mag_err_model_sc-ib709	D	
mag_err_model_sc-ib827	D	
mag_err_model_sc-nb711	D	
mag_err_model_sc-nb816	D	
mag_err_model_irac-ch1	D	
mag_err_model_irac-ch2	D	
mag_err_model_irac-ch3	D	
mag_err_model_irac-ch4	D	
flux_model_f115w	D	
flux_model_f150w	D	
flux_model_f277w	D	
flux_model_f444w	D	
flux_model_hst-f814w	D	
flux_model_f770w	D	
flux_model_cfht-u	D	
flux_model_hsc-g	D	
flux_model_hsc-r	D	
flux_model_hsc-i	D	
flux_model_hsc-z	D	
flux_model_hsc-y	D	
flux_model_hsc-nb0816	D	
flux_model_hsc-nb0921	D	
flux_model_hsc-nb1010	D	
flux_model_uvista-y	D	
flux_model_uvista-j	D	
flux_model_uvista-h	D	
flux_model_uvista-ks	D	
flux_model_uvista-nb118	D	
flux_model_sc-ia484	D	
flux_model_sc-ia527	D	
flux_model_sc-ia624	D	
flux_model_sc-ia679	D	
flux_model_sc-ia738	D	
flux_model_sc-ia767	D	
flux_model_sc-ib427	D	
flux_model_sc-ib505	D	
flux_model_sc-ib574	D	
flux_model_sc-ib709	D	
flux_model_sc-ib827	D	
flux_model_sc-nb711	D	
flux_model_sc-nb816	D	
flux_model_irac-ch1	D	
flux_model_irac-ch2	D	
flux_model_irac-ch3	D	
flux_model_irac-ch4	D	
flux_err-uncal_model_f115w	D	
flux_err-uncal_model_f150w	D	
flux_err-uncal_model_f277w	D	
flux_err-uncal_model_f444w	D	
flux_err-uncal_model_hst-f814w	D	
flux_err-uncal_model_f770w	D	
flux_err-uncal_model_cfht-u	D	
flux_err-uncal_model_hsc-g	D	
flux_err-uncal_model_hsc-r	D	
flux_err-uncal_model_hsc-i	D	
flux_err-uncal_model_hsc-z	D	
flux_err-uncal_model_hsc-y	D	
flux_err-uncal_model_hsc-nb0816	D	
flux_err-uncal_model_hsc-nb0921	D	
flux_err-uncal_model_hsc-nb1010	D	
flux_err-uncal_model_uvista-y	D	
flux_err-uncal_model_uvista-j	D	
flux_err-uncal_model_uvista-h	D	
flux_err-uncal_model_uvista-ks	D	
flux_err-uncal_model_uvista-nb118	D	
flux_err-uncal_model_sc-ia484	D	
flux_err-uncal_model_sc-ia527	D	
flux_err-uncal_model_sc-ia624	D	
flux_err-uncal_model_sc-ia679	D	
flux_err-uncal_model_sc-ia738	D	
flux_err-uncal_model_sc-ia767	D	
flux_err-uncal_model_sc-ib427	D	
flux_err-uncal_model_sc-ib505	D	
flux_err-uncal_model_sc-ib574	D	
flux_err-uncal_model_sc-ib709	D	
flux_err-uncal_model_sc-ib827	D	
flux_err-uncal_model_sc-nb711	D	
flux_err-uncal_model_sc-nb816	D	
flux_err-uncal_model_irac-ch1	D	
flux_err-uncal_model_irac-ch2	D	
flux_err-uncal_model_irac-ch3	D	
flux_err-uncal_model_irac-ch4	D	
flag_star_hsc	I	
flux_err-cal_model_f115w	D	
flux_err-cal_model_f150w	D	
flux_err-cal_model_f277w	D	
flux_err-cal_model_f444w	D	
flux_err-cal_model_hst-f814w	D	
flux_err-cal_model_f770w	D	
flux_err-cal_model_cfht-u	D	
flux_err-cal_model_hsc-g	D	
flux_err-cal_model_hsc-r	D	
flux_err-cal_model_hsc-i	D	
flux_err-cal_model_hsc-z	D	
flux_err-cal_model_hsc-y	D	
flux_err-cal_model_hsc-nb0816	D	
flux_err-cal_model_hsc-nb0921	D	
flux_err-cal_model_hsc-nb1010	D	
flux_err-cal_model_uvista-y	D	
flux_err-cal_model_uvista-j	D	
flux_err-cal_model_uvista-h	D	
flux_err-cal_model_uvista-ks	D	
flux_err-cal_model_uvista-nb118	D	
flux_err-cal_model_sc-ia484	D	
flux_err-cal_model_sc-ia527	D	
flux_err-cal_model_sc-ia624	D	
flux_err-cal_model_sc-ia679	D	
flux_err-cal_model_sc-ia738	D	
flux_err-cal_model_sc-ia767	D	
flux_err-cal_model_sc-ib427	D	
flux_err-cal_model_sc-ib505	D	
flux_err-cal_model_sc-ib574	D	
flux_err-cal_model_sc-ib709	D	
flux_err-cal_model_sc-ib827	D	
flux_err-cal_model_sc-nb711	D	
flux_err-cal_model_sc-nb816	D	
flux_err-cal_model_irac-ch1	D	
flux_err-cal_model_irac-ch2	D	
flux_err-cal_model_irac-ch3	D	
flux_err-cal_model_irac-ch4	D	
warn_flag	K	
