SE++APER (v1.1, from COSMOSWeb_mastercatalog_v1.1_photom_secondary.fits, 784016 rows)
Column Name	Format	Unit
mag_aper_f115w	5E	
mag_aper_f150w	5E	
mag_aper_f277w	5E	
mag_aper_f444w	5E	
mag_aper_hst-f814w	5E	
mag_aper_f770w	5E	
mag_aper_cfht-u	5E	
mag_aper_hsc-g	5E	
mag_aper_hsc-r	5E	
mag_aper_hsc-i	5E	
mag_aper_hsc-z	5E	
mag_aper_hsc-y	5E	
mag_aper_hsc-nb0816	5E	
mag_aper_hsc-nb0921	5E	
mag_aper_hsc-nb1010	5E	
mag_aper_uvista-y	5E	
mag_aper_uvista-j	5E	
mag_aper_uvista-h	5E	
mag_aper_uvista-ks	5E	
mag_aper_uvista-nb118	5E	
mag_aper_sc-ia484	5E	
mag_aper_sc-ia527	5E	
mag_aper_sc-ia624	5E	
mag_aper_sc-ia679	5E	
mag_aper_sc-ia738	5E	
mag_aper_sc-ia767	5E	
mag_aper_sc-ib427	5E	
mag_aper_sc-ib505	5E	
mag_aper_sc-ib574	5E	
mag_aper_sc-ib709	5E	
mag_aper_sc-ib827	5E	
mag_aper_sc-nb711	5E	
mag_aper_sc-nb816	5E	
mag_aper_irac-ch1	5E	
mag_aper_irac-ch2	5E	
mag_aper_irac-ch3	5E	
mag_aper_irac-ch4	5E	
mag_err_aper_f115w	5E	
mag_err_aper_f150w	5E	
mag_err_aper_f277w	5E	
mag_err_aper_f444w	5E	
mag_err_aper_hst-f814w	5E	
mag_err_aper_f770w	5E	
mag_err_aper_cfht-u	5E	
mag_err_aper_hsc-g	5E	
mag_err_aper_hsc-r	5E	
mag_err_aper_hsc-i	5E	
mag_err_aper_hsc-z	5E	
mag_err_aper_hsc-y	5E	
mag_err_aper_hsc-nb0816	5E	
mag_err_aper_hsc-nb0921	5E	
mag_err_aper_hsc-nb1010	5E	
mag_err_aper_uvista-y	5E	
mag_err_aper_uvista-j	5E	
mag_err_aper_uvista-h	5E	
mag_err_aper_uvista-ks	5E	
mag_err_aper_uvista-nb118	5E	
mag_err_aper_sc-ia484	5E	
mag_err_aper_sc-ia527	5E	
mag_err_aper_sc-ia624	5E	
mag_err_aper_sc-ia679	5E	
mag_err_aper_sc-ia738	5E	
mag_err_aper_sc-ia767	5E	
mag_err_aper_sc-ib427	5E	
mag_err_aper_sc-ib505	5E	
mag_err_aper_sc-ib574	5E	
mag_err_aper_sc-ib709	5E	
mag_err_aper_sc-ib827	5E	
mag_err_aper_sc-nb711	5E	
mag_err_aper_sc-nb816	5E	
mag_err_aper_irac-ch1	5E	
mag_err_aper_irac-ch2	5E	
mag_err_aper_irac-ch3	5E	
mag_err_aper_irac-ch4	5E	
flux_aper_f115w	5E	
flux_aper_f150w	5E	
flux_aper_f277w	5E	
flux_aper_f444w	5E	
flux_aper_hst-f814w	5E	
flux_aper_f770w	5E	
flux_aper_cfht-u	5E	
flux_aper_hsc-g	5E	
flux_aper_hsc-r	5E	
flux_aper_hsc-i	5E	
flux_aper_hsc-z	5E	
flux_aper_hsc-y	5E	
flux_aper_hsc-nb0816	5E	
flux_aper_hsc-nb0921	5E	
flux_aper_hsc-nb1010	5E	
flux_aper_uvista-y	5E	
flux_aper_uvista-j	5E	
flux_aper_uvista-h	5E	
flux_aper_uvista-ks	5E	
flux_aper_uvista-nb118	5E	
flux_aper_sc-ia484	5E	
flux_aper_sc-ia527	5E	
flux_aper_sc-ia624	5E	
flux_aper_sc-ia679	5E	
flux_aper_sc-ia738	5E	
flux_aper_sc-ia767	5E	
flux_aper_sc-ib427	5E	
flux_aper_sc-ib505	5E	
flux_aper_sc-ib574	5E	
flux_aper_sc-ib709	5E	
flux_aper_sc-ib827	5E	
flux_aper_sc-nb711	5E	
flux_aper_sc-nb816	5E	
flux_aper_irac-ch1	5E	
flux_aper_irac-ch2	5E	
flux_aper_irac-ch3	5E	
flux_aper_irac-ch4	5E	
flux_err_aper_f115w	5E	
flux_err_aper_f150w	5E	
flux_err_aper_f277w	5E	
flux_err_aper_f444w	5E	
flux_err_aper_hst-f814w	5E	
flux_err_aper_f770w	5E	
flux_err_aper_cfht-u	5E	
flux_err_aper_hsc-g	5E	
flux_err_aper_hsc-r	5E	
flux_err_aper_hsc-i	5E	
flux_err_aper_hsc-z	5E	
flux_err_aper_hsc-y	5E	
flux_err_aper_hsc-nb0816	5E	
flux_err_aper_hsc-nb0921	5E	
flux_err_aper_hsc-nb1010	5E	
flux_err_aper_uvista-y	5E	
flux_err_aper_uvista-j	5E	
flux_err_aper_uvista-h	5E	
flux_err_aper_uvista-ks	5E	
flux_err_aper_uvista-nb118	5E	
flux_err_aper_sc-ia484	5E	
flux_err_aper_sc-ia527	5E	
flux_err_aper_sc-ia624	5E	
flux_err_aper_sc-ia679	5E	
flux_err_aper_sc-ia738	5E	
flux_err_aper_sc-ia767	5E	
flux_err_aper_sc-ib427	5E	
flux_err_aper_sc-ib505	5E	
flux_err_aper_sc-ib574	5E	
flux_err_aper_sc-ib709	5E	
flux_err_aper_sc-ib827	5E	
flux_err_aper_sc-nb711	5E	
flux_err_aper_sc-nb816	5E	
flux_err_aper_irac-ch1	5E	
flux_err_aper_irac-ch2	5E	
flux_err_aper_irac-ch3	5E	
flux_err_aper_irac-ch4	5E	
